Date,Gold Price
2011-11-18,572000.0
2011-11-19,572000.0
2011-11-20,572000.0
2011-11-21,572000.0
2011-11-22,565000.0
2011-11-23,570000.0
2011-11-24,570000.0
2011-11-25,573000.0
2011-11-26,573000.0
2011-11-27,573000.0
2011-11-28,573000.0
2011-11-29,580000.0
2011-11-30,585000.0
2011-12-01,587000.0
2011-12-02,578000.0
2011-12-03,578000.0
2011-12-04,578000.0
2011-12-05,584000.0
2011-12-06,572000.0
2011-12-07,573000.0
2011-12-08,576000.0
2011-12-09,570000.0
2011-12-10,570000.0
2011-12-11,570000.0
2011-12-12,569000.0
2011-12-13,566000.0
2011-12-14,562000.0
2011-12-15,559000.0
2011-12-16,560000.0
2011-12-17,560000.0
2011-12-18,560000.0
2011-12-19,564000.0
2011-12-20,565000.0
2011-12-21,569000.0
2011-12-22,568000.0
2011-12-23,567000.0
2011-12-24,567000.0
2011-12-25,567000.0
2011-12-26,567000.0
2011-12-27,563000.0
2011-12-28,563000.0
2011-12-29,557000.0
2011-12-30,555000.0
2011-12-31,555000.0
2012-01-01,555000.0
2012-01-02,555000.0
2012-01-03,559000.0
2012-01-04,565000.0
2012-01-05,566000.0
2012-01-06,567000.0
2012-01-07,567000.0
2012-01-08,567000.0
2012-01-09,565000.0
2012-01-10,566000.0
2012-01-11,570000.0
2012-01-12,571000.0
2012-01-13,572000.0
2012-01-14,572000.0
2012-01-15,572000.0
2012-01-16,565000.0
2012-01-17,566000.0
2012-01-18,567000.0
2012-01-19,564000.0
2012-01-20,559000.0
2012-01-21,559000.0
2012-01-22,559000.0
2012-01-23,559000.0
2012-01-24,559000.0
2012-01-25,557000.0
2012-01-26,571000.0
2012-01-27,572000.0
2012-01-28,572000.0
2012-01-29,572000.0
2012-01-30,573000.0
2012-01-31,570000.0
2012-02-01,571000.0
2012-02-02,574000.0
2012-02-03,573000.0
2012-02-04,573000.0
2012-02-05,573000.0
2012-02-06,565000.0
2012-02-07,564000.0
2012-02-08,570000.0
2012-02-09,568000.0
2012-02-10,566000.0
2012-02-11,566000.0
2012-02-12,566000.0
2012-02-13,570000.0
2012-02-14,570000.0
2012-02-15,570000.0
2012-02-16,572000.0
