Timestamp,Date,Gold Price
2012-11-28 08:00:00,2012-11-28,604200
2012-11-29 08:00:00,2012-11-29,598200
2012-11-30 08:30:00,2012-11-30,601200
2012-12-03 08:00:00,2012-12-03,600200
2012-12-04 00:00:00,2012-12-04,600200
2012-12-05 00:00:00,2012-12-05,597200
2012-12-06 08:20:00,2012-12-06,597200
2012-12-07 08:30:00,2012-12-07,599200
2012-12-10 00:00:00,2012-12-10,602200
2012-12-11 08:15:00,2012-12-11,604200
2012-12-12 08:00:00,2012-12-12,604200
2012-12-13 08:00:00,2012-12-13,604200
2012-12-14 08:30:00,2012-12-14,599200
2012-12-17 08:00:00,2012-12-17,601200
2012-12-18 08:30:00,2012-12-18,602200
2012-12-19 08:00:00,2012-12-19,598200
2012-12-20 08:15:00,2012-12-20,597200
2012-12-21 08:00:00,2012-12-21,591200
2012-12-26 08:00:00,2012-12-26,598200
2012-12-27 08:00:00,2012-12-27,601200
2012-12-28 08:00:00,2012-12-28,604200
2013-01-02 08:00:00,2013-01-02,599200
2013-01-03 08:00:00,2013-01-03,605200
2013-01-04 08:00:00,2013-01-04,597200
2013-01-07 08:15:00,2013-01-07,601200
2013-01-08 08:10:00,2013-01-08,598200
2013-01-09 08:20:00,2013-01-09,600200
2013-01-10 08:00:00,2013-01-10,597200
2013-01-11 08:20:00,2013-01-11,599200
2013-01-14 08:45:00,2013-01-14,598200
2013-01-15 08:15:00,2013-01-15,600200
2013-01-16 08:30:00,2013-01-16,606200
2013-01-17 08:30:00,2013-01-17,603200
2013-01-18 00:00:00,2013-01-18,604200
2013-01-21 08:20:00,2013-01-21,604200
2013-01-22 08:50:00,2013-01-22,604200
2013-01-23 08:00:00,2013-01-23,603200
2013-01-25 08:10:00,2013-01-25,600200
2013-01-28 08:00:00,2013-01-28,599200
2013-01-29 08:30:00,2013-01-29,599200
2013-01-30 08:00:00,2013-01-30,601200
2013-01-31 08:10:00,2013-01-31,603200
2013-02-01 08:00:00,2013-02-01,599200
2013-02-04 08:10:00,2013-02-04,599200
2013-02-05 00:00:00,2013-02-05,599200
2013-02-05 08:51:00,2013-02-05,599200
2013-02-06 00:00:00,2013-02-06,599200
2013-02-07 00:00:00,2013-02-07,600200
2013-02-08 00:00:00,2013-02-08,600200
2013-02-11 08:20:00,2013-02-11,596200
2013-02-12 08:30:00,2013-02-12,591200
2013-02-13 07:45:00,2013-02-13,592200
2013-02-14 08:15:00,2013-02-14,591200
2013-02-15 08:10:00,2013-02-15,590200
2013-02-18 08:30:00,2013-02-18,588200
2013-02-19 08:20:00,2013-02-19,588200
2013-02-20 08:15:00,2013-02-20,587200
2013-02-21 08:20:00,2013-02-21,581200
2013-02-22 08:45:00,2013-02-22,582200
2013-02-25 08:30:00,2013-02-25,585200
2013-02-26 08:55:00,2013-02-26,587200
2013-02-27 08:20:00,2013-02-27,592200
2013-02-28 08:10:00,2013-02-28,590200
2013-03-01 08:15:00,2013-03-01,586200
2013-03-04 08:10:00,2013-03-04,586200
2013-03-05 08:45:00,2013-03-05,586200
2013-03-06 08:30:00,2013-03-06,586200
2013-03-07 08:10:00,2013-03-07,586200
2013-03-08 07:55:00,2013-03-08,586200
2013-03-11 08:00:00,2013-03-11,584200
2013-03-13 08:00:00,2013-03-13,585200
2013-03-14 08:30:00,2013-03-14,584000
2013-03-15 00:00:00,2013-03-15,584000
2013-03-18 08:20:00,2013-03-18,581000
2013-03-19 08:30:00,2013-03-19,582000
2013-03-20 08:20:00,2013-03-20,583000
2013-03-21 08:45:00,2013-03-21,581000
2013-03-22 09:00:00,2013-03-22,582000
2013-03-25 08:00:00,2013-03-25,579000
2013-03-26 09:00:00,2013-03-26,577000
2013-03-27 08:20:00,2013-03-27,577000
2013-03-28 08:35:00,2013-03-28,577000
2013-04-01 00:00:00,2013-04-01,574000
2013-04-02 09:00:00,2013-04-02,574000
2013-04-03 08:15:00,2013-04-03,571000
2013-04-04 08:00:00,2013-04-04,569000
2013-04-05 08:00:00,2013-04-05,566000
2013-04-08 08:40:00,2013-04-08,569000
2013-04-09 08:25:00,2013-04-09,567000
2013-04-10 08:40:00,2013-04-10,568000
2013-04-11 08:30:00,2013-04-11,564000
2013-04-12 08:10:00,2013-04-12,565000
2013-04-15 08:00:00,2013-04-15,563000
2013-04-16 09:00:00,2013-04-16,561000
2013-04-17 08:30:00,2013-04-17,561000
2013-04-18 08:15:00,2013-04-18,561000
2013-04-19 08:15:00,2013-04-19,561000
2013-04-22 08:30:00,2013-04-22,551000
2013-04-23 08:45:00,2013-04-23,555000
2013-04-24 08:30:00,2013-04-24,555000
2013-04-25 08:25:00,2013-04-25,557000
2013-04-26 08:00:00,2013-04-26,557000
2013-04-29 08:20:00,2013-04-29,553000
2013-04-30 08:50:00,2013-04-30,553000
2013-05-01 08:30:00,2013-05-01,552000
2013-05-02 08:30:00,2013-05-02,550000
2013-05-03 08:00:00,2013-05-03,551000
2013-05-06 08:30:00,2013-05-06,552000
2013-05-07 08:50:00,2013-05-07,551000
2013-05-08 08:30:00,2013-05-08,549000
2013-05-10 08:20:00,2013-05-10,549000
2013-05-13 08:30:00,2013-05-13,545000
2013-05-14 08:50:00,2013-05-14,543000
2013-05-15 08:20:00,2013-05-15,539000
2013-05-16 07:50:00,2013-05-16,537000
2013-05-17 08:50:00,2013-05-17,532000
2013-05-20 08:50:00,2013-05-20,532000
2013-05-21 09:20:00,2013-05-21,533000
2013-05-22 08:00:00,2013-05-22,533000
2013-05-23 08:20:00,2013-05-23,533000
2013-05-24 08:00:00,2013-05-24,536000
2013-05-27 08:45:00,2013-05-27,536000
2013-05-28 08:50:00,2013-05-28,536000
2013-05-29 08:30:00,2013-05-29,535000
2013-05-30 08:10:00,2013-05-30,538000
2013-05-31 08:30:00,2013-05-31,539000
2013-06-03 08:20:00,2013-06-03,538000
2013-06-04 08:50:00,2013-06-04,541000
2013-06-05 08:15:00,2013-06-05,539000
2013-06-07 08:00:00,2013-06-07,542000
2013-06-10 08:30:00,2013-06-10,533000
2013-06-11 09:00:00,2013-06-11,533000
2013-06-12 08:30:00,2013-06-12,533000
2013-06-13 08:20:00,2013-06-13,533000
2013-06-14 08:00:00,2013-06-14,533000
2013-06-17 08:30:00,2013-06-17,533000
2013-06-18 08:30:00,2013-06-18,533000
2013-06-19 08:30:00,2013-06-19,532000
2013-06-20 08:30:00,2013-06-20,528000
2013-06-21 08:20:00,2013-06-21,521000
2013-06-24 08:20:00,2013-06-24,522000
